gap,seq_num,hidden_size,num_layer,ACC
5,30,32,1,89.63085359866854
5,30,32,2,90.35765173557479
5,30,32,3,89.75298442233317
5,30,64,1,90.48756540584552
5,30,64,2,90.31694146101991
5,30,64,3,90.70967587437288
5,30,128,1,90.42530263299687
5,30,128,2,90.63364344983655
5,30,128,3,90.698899625226
5,30,256,1,90.97908210304489
5,30,256,2,90.83539878108648
5,30,256,3,90.45823006094568
5,50,32,1,92.83451382865954
5,50,32,2,92.72911246024863
5,50,32,3,92.7941601618965
5,50,64,1,93.01761106292763
5,50,64,2,92.84113905753108
5,50,64,3,93.08386335164306
5,50,128,1,93.07844270983907
5,50,128,2,93.19468536185795
5,50,128,3,93.23805049628987
5,50,256,1,93.08446564517683
5,50,256,2,93.46993350679386
5,50,256,3,93.31574636214705
5,80,32,1,94.00774331576804
5,80,32,2,93.96580542032103
5,80,32,3,93.73788207550037
5,80,64,1,94.14449732266044
5,80,64,2,94.23749004734728
5,80,64,3,94.3098177221037
5,80,128,1,94.22715752238207
5,80,128,2,94.3098177221037
5,80,128,3,94.02536938776751
5,80,256,1,94.26484084872575
5,80,256,2,94.2630174619672
5,80,256,3,94.32258142941366
5,100,32,1,94.66448965614241
5,100,32,2,94.69506564665163
5,100,32,3,94.56481192708237
5,100,64,1,94.58682664024901
5,100,64,2,94.44617708390663
5,100,64,3,94.64186342316559
5,100,128,1,94.59294183835085
5,100,128,2,94.7311453154525
5,100,128,3,94.77517474178576
5,100,256,1,94.79963553419313
5,100,256,2,94.7268646767812
5,100,256,3,94.8742409510356
5,150,32,1,94.86653997590392
5,150,32,2,94.90939126330564
5,150,32,3,94.98267317509409
5,150,64,1,94.92119089316988
5,150,64,2,94.8050576939797
5,150,64,3,94.98453627454633
5,150,128,1,94.99509383810909
5,150,128,2,95.02366136304356
5,150,128,3,94.92367502577288
5,150,256,1,94.98577834084783
5,150,256,2,95.01993516413906
5,150,256,3,95.00999863372706
5,200,32,1,94.78541733694178
5,200,32,2,94.92483456033106
5,200,32,3,94.97340979200969
5,200,64,1,94.95763861289325
5,200,64,2,94.84282442892561
5,200,64,3,94.94439082243545
5,200,128,1,94.89960067374477
5,200,128,2,95.05857415923845
5,200,128,3,94.89392304926285
5,200,256,1,95.06866771387296
5,200,256,2,95.01756909353571
5,200,256,3,94.91032507554395
