gap,seq_num,hidden_size,num_layer,ACC
5,30,32,1,78.95739173584754
5,30,32,2,78.67575070745544
5,30,32,3,79.05261322639915
5,30,64,1,80.13089602081462
5,30,64,2,80.7666000563282
5,30,64,3,79.45629870042782
5,30,128,1,79.42277000657162
5,30,128,2,81.73624988264957
5,30,128,3,81.0817697785765
5,30,256,1,81.02007698188109
5,30,256,2,82.39475342998539
5,30,256,3,82.29148505290829
5,50,32,1,86.85943430387726
5,50,32,2,87.22824993629548
5,50,32,3,86.7628716655714
5,50,64,1,87.43612783820393
5,50,64,2,87.70167509354505
5,50,64,3,88.50234030283116
5,50,128,1,88.87115593524939
5,50,128,2,88.7598406716468
5,50,128,3,89.09512761020882
5,50,256,1,88.91407266338533
5,50,256,2,89.36201601330418
5,50,256,3,89.36201601330418
5,80,32,1,92.82083607151
5,80,32,2,92.06308759035983
5,80,32,3,92.99116183629951
5,80,64,1,93.05017233748642
5,80,64,2,93.05017233748642
5,80,64,3,93.48738650537129
5,80,128,1,93.7663452382549
5,80,128,2,94.21428858817376
5,80,128,3,93.81194426189933
5,80,256,1,93.95276477609538
5,80,256,2,93.99568150423133
5,80,256,3,93.45654010702359
5,100,32,1,95.18655615460959
5,100,32,2,95.26032027037901
5,100,32,3,95.23349695555376
5,100,64,1,95.78471607521257
5,100,64,2,95.45210697137952
5,100,64,3,94.57900807381776
5,100,128,1,95.6626699927577
5,100,128,2,95.69754030203052
5,100,128,3,96.0046672567796
5,100,256,1,96.43384029398354
5,100,256,2,96.35471151524905
5,100,256,3,95.90273866044366
5,150,32,1,95.72379010623457
5,150,32,2,93.76140143792253
5,150,32,3,93.58300246807597
5,150,64,1,91.882176199163
5,150,64,2,95.98535250563366
5,150,64,3,94.9927567335551
5,150,128,1,96.49238115677647
5,150,128,2,94.71375684086276
5,150,128,3,96.03095825732375
5,150,256,1,97.33608756304325
5,150,256,2,96.29117931108487
5,150,256,3,96.0872947741174
5,200,32,1,97.07350454874809
5,200,32,2,97.23720580736924
5,200,32,3,97.4639723049674
5,200,64,1,97.80345114456699
5,200,64,2,97.54850656146849
5,200,64,3,97.88932721466334
5,200,128,1,98.19794434157207
5,200,128,2,97.9416579448783
5,200,128,3,97.83162923006736
5,200,256,1,97.97251965756917
5,200,256,2,98.1429299841666
5,200,256,3,98.31334031076403
