seq_num,gap,d_model,n_head,num_layer,dropout,ACC,train_size,val_size
100,1,128,1,1,0.3,63.336977316206614,1073117,102501
100,1,128,1,4,0.3,86.66985515168079,1073117,102501
100,1,128,1,8,0.3,85.44228842124441,1073117,102501
100,1,128,4,1,0.3,68.06049011569645,1073117,102501
100,1,128,4,4,0.3,88.53739637423705,1073117,102501
100,1,128,4,8,0.3,90.07697913819806,1073117,102501
100,1,128,8,1,0.3,70.97795390361665,1073117,102501
100,1,128,8,4,0.3,88.81525006832467,1073117,102501
100,1,128,8,8,0.3,89.53721417509338,1073117,102501

100,1,256,1,1,0.3,65.49148219003371,1073117,102501
100,1,256,1,4,0.3,88.33242233761501,1073117,102501
100,1,256,1,8,0.3,90.27739819622848,1073117,102501
100,1,256,4,1,0.3,74.2438735537943,1073117,102501
100,1,256,4,4,0.3,89.18648082354012,1073117,102501
100,1,256,4,8,0.3,90.22501594242507,1073117,102501
100,1,256,8,1,0.3,79.77589505329325,1073117,102501
100,1,256,8,4,0.3,89.95399471622483,1073117,102501
100,1,256,8,8,0.3,91.35237314384622,1073117,102501

100,1,512,1,1,0.3,62.29160972943427,1073117,102501
100,1,512,1,4,0.3,90.55980686890771,1073117,102501
100,1,512,1,8,0.3,89.43472715678236,1073117,102501
100,1,512,4,1,0.3,73.02769426983693,1073117,102501
100,1,512,4,4,0.3,91.05629953539218,1073117,102501
100,1,512,4,8,0.3,90.35027785369408,1073117,102501
100,1,512,8,1,0.3,81.24715313838026,1073117,102501
100,1,512,8,4,0.3,89.55543408945978,1073117,102501
100,1,512,8,8,0.3,91.69855151680787,1073117,102501

200,1,128,1,1,0.3,65.48969274694187,1023017,92481
200,1,128,1,4,0.3,87.13361447992247,1023017,92481
200,1,128,1,8,0.3,90.19566754852399,1023017,92481
200,1,128,4,1,0.3,72.339366634361,1023017,92481
200,1,128,4,4,0.3,88.91217225030778,1023017,92481
200,1,128,4,8,0.3,90.99195850904995,1023017,92481
200,1,128,8,1,0.3,77.67503994551693,1023017,92481
200,1,128,8,4,0.3,89.26840768001676,1023017,92481
200,1,128,8,8,0.3,90.86360897922833,1023017,92481

200,1,256,1,1,0.3,67.77379050213479,1023017,92481
200,1,256,1,4,0.3,90.29782329674936,1023017,92481
200,1,256,1,8,0.3,92.86481389318176,1023017,92481
200,1,256,4,1,0.3,77.01233727113183,1023017,92481
200,1,256,4,4,0.3,90.0516017497446,1023017,92481
200,1,256,4,8,0.3,92.27807318542578,1023017,92481
200,1,256,8,1,0.3,79.67362548131074,1023017,92481
200,1,256,8,4,0.3,92.37237079917227,1023017,92481
200,1,256,8,8,0.3,92.58192105194227,1023017,92481

200,1,512,1,1,0.3,66.07905283285749,1023017,92481
200,1,512,1,4,0.3,90.58333551614847,1023017,92481
200,1,512,1,8,0.3,92.7102705817639,1023017,92481
200,1,512,4,1,0.3,78.34822013254053,1023017,92481
200,1,512,4,4,0.3,91.56036356968856,1023017,92481
200,1,512,4,8,0.3,92.62906985881551,1023017,92481
200,1,512,8,1,0.3,84.39898368127406,1023017,92481
200,1,512,8,4,0.3,91.32723891348193,1023017,92481
200,1,512,8,8,0.3,92.71812871624276,1023017,92481

300,1,128,1,1,0.3,65.88863978379042,972917,82461
300,1,128,1,4,0.3,85.91873713952275,972917,82461
300,1,128,1,8,0.3,86.49304382543534,972917,82461
300,1,128,4,1,0.3,71.9633917877215,972917,82461
300,1,128,4,4,0.3,88.2405331531587,972917,82461
300,1,128,4,8,0.3,89.47206781118516,972917,82461
300,1,128,8,1,0.3,74.64758453364455,972917,82461
300,1,128,8,4,0.3,89.31850987377537,972917,82461
300,1,128,8,8,0.3,90.35963268941371,972917,82461

300,1,256,1,1,0.3,66.73935075704063,972917,82461
300,1,256,1,4,0.3,87.11341789257087,972917,82461
300,1,256,1,8,0.3,90.19686127575935,972917,82461
300,1,256,4,1,0.3,74.47867080249378,972917,82461
300,1,256,4,4,0.3,89.99416479837843,972917,82461
300,1,256,4,8,0.3,91.28098031387242,972917,82461
300,1,256,8,1,0.3,80.5902767114032,972917,82461
300,1,256,8,4,0.3,89.91738582967353,972917,82461
300,1,256,8,8,0.3,91.18577439267835,972917,82461

300,1,512,1,1,0.3,68.13979914621787,972917,82461
300,1,512,1,1,0.3,67.36279598292435,972917,82461
300,1,512,1,4,0.3,88.49543932925893,972917,82461
300,1,512,1,8,0.3,90.8049507079021,972917,82461
300,1,512,4,1,0.3,80.29544547157643,972917,82461
300,1,512,4,4,0.3,90.24907097447867,972917,82461
300,1,512,4,8,0.3,91.72015601486441,972917,82461
300,1,512,8,1,0.3,81.0233100948988,972917,82461
300,1,512,8,4,0.3,91.69865790362704,972917,82461
300,1,512,8,8,0.3,92.60464973434476,972917,82461
