gap,seq_num,hidden_size,num_layer,ACC
3,30,32,1,81.82088879589242
3,30,32,2,82.03254518823738
3,30,32,3,81.75731140047321
3,30,64,1,82.56450288914999
3,30,64,2,83.24936824993159
3,30,64,3,83.6227848508748
3,30,128,1,84.19337185533325
3,30,128,2,82.41883822369586
3,30,128,3,83.8738753239228
3,30,256,1,84.79856427755155
3,30,256,2,85.59690321749908
3,30,256,3,85.69589080783531
3,50,32,1,90.99212192904103
3,50,32,2,90.73381132864995
3,50,32,3,90.00796658861019
3,50,64,1,90.74024897601171
3,50,64,2,90.17373600817581
3,50,64,3,90.46101602169487
3,50,128,1,91.00902075336569
3,50,128,2,91.8080937321456
3,50,128,3,91.80567961438493
3,50,256,1,91.8008513788636
3,50,256,2,91.96179256290789
3,50,256,3,92.12434315879261
3,80,32,1,94.67526092589463
3,80,32,2,94.88528917107243
3,80,32,3,94.7340044580708
3,80,64,1,95.63125155911771
3,80,64,2,95.48881861123853
3,80,64,3,95.69482332681521
3,80,128,1,95.87266333518416
3,80,128,2,95.77851274251825
3,80,128,3,96.13821628885724
3,80,256,1,95.91772686671656
3,80,256,2,96.1180986408517
3,80,256,3,96.2943292373802
3,100,32,1,96.9733549004933
3,100,32,2,96.97657387959408
3,100,32,3,96.4872890562758
3,100,64,1,97.63726934002881
3,100,64,2,97.42964518802862
3,100,64,3,97.28881485236957
3,100,128,1,97.26708674343932
3,100,128,2,97.59703210126908
3,100,128,3,97.76683324883513
3,100,256,1,97.88352124123834
3,100,256,2,97.59220363261791
3,100,256,3,97.44010687010615
3,150,32,1,98.47873856035544
3,150,32,2,98.09560604963015
3,150,32,3,98.19621857870717
3,150,64,1,98.45620135384219
3,150,64,2,98.36444272732395
3,150,64,3,98.47068955802928
3,150,128,1,98.56083838408229
3,150,128,2,98.44895725174865
3,150,128,3,98.49322676454254
3,150,256,1,98.745965437584
3,150,256,2,98.62362060222635
3,150,256,3,98.71779392944245
3,200,32,1,98.13213532357535
3,200,32,2,97.57419126290195
3,200,32,3,98.27625074473053
3,200,64,1,98.44049401800235
3,200,64,2,97.90267780944559
3,200,64,3,98.38413603207574
3,200,128,1,98.38494114616041
3,200,128,2,98.30603996586316
3,200,128,3,98.61600888845949
3,200,256,1,98.67800267297876
3,200,256,2,98.53227702365425
3,200,256,3,98.40748434053106
5,30,32,1,89.63085359866854
5,30,32,2,90.35765173557479
5,30,32,3,89.75298442233317
5,30,64,1,90.48756540584552
5,30,64,2,90.31694146101991
5,30,64,3,90.70967587437288
5,30,128,1,90.42530263299687
5,30,128,2,90.63364344983655
5,30,128,3,90.698899625226
5,30,256,1,90.97908210304489
5,30,256,2,90.83539878108648
5,30,256,3,90.45823006094568
5,50,32,1,92.83451382865954
5,50,32,2,92.72911246024863
5,50,32,3,92.7941601618965
5,50,64,1,93.01761106292763
5,50,64,2,92.84113905753108
5,50,64,3,93.08386335164306
5,50,128,1,93.07844270983907
5,50,128,2,93.19468536185795
5,50,128,3,93.23805049628987
5,50,256,1,93.08446564517683
5,50,256,2,93.46993350679386
5,50,256,3,93.31574636214705
5,80,32,1,94.00774331576804
5,80,32,2,93.96580542032103
5,80,32,3,93.73788207550037
5,80,64,1,94.14449732266044
5,80,64,2,94.23749004734728
5,80,64,3,94.3098177221037
5,80,128,1,94.22715752238207
5,80,128,2,94.3098177221037
5,80,128,3,94.02536938776751
5,80,256,1,94.26484084872575
5,80,256,2,94.2630174619672
5,80,256,3,94.32258142941366
5,100,32,1,94.66448965614241
5,100,32,2,94.69506564665163
5,100,32,3,94.56481192708237
5,100,64,1,94.58682664024901
5,100,64,2,94.44617708390663
5,100,64,3,94.64186342316559
5,100,128,1,94.59294183835085
5,100,128,2,94.7311453154525
5,100,128,3,94.77517474178576
5,100,256,1,94.79963553419313
5,100,256,2,94.7268646767812
5,100,256,3,94.8742409510356
5,150,32,1,94.86653997590392
5,150,32,2,94.90939126330564
5,150,32,3,94.98267317509409
5,150,64,1,94.92119089316988
5,150,64,2,94.8050576939797
5,150,64,3,94.98453627454633
5,150,128,1,94.99509383810909
5,150,128,2,95.02366136304356
5,150,128,3,94.92367502577288
5,150,256,1,94.98577834084783
5,150,256,2,95.01993516413906
5,150,256,3,95.00999863372706
5,200,32,1,94.78541733694178
5,200,32,2,94.92483456033106
5,200,32,3,94.97340979200969
5,200,64,1,94.95763861289325
5,200,64,2,94.84282442892561
5,200,64,3,94.94439082243545
5,200,128,1,94.89960067374477
5,200,128,2,95.05857415923845
5,200,128,3,94.89392304926285
5,200,256,1,95.06866771387296
5,200,256,2,95.01756909353571
5,200,256,3,94.91032507554395
10,30,32,1,74.87729649993295
10,30,32,2,74.61713825935362
10,30,32,3,73.10714764650663
10,30,64,1,74.78878905726164
10,30,64,2,75.70873005229986
10,30,64,3,74.94971168030038
10,30,128,1,75.5692637789996
10,30,128,2,75.98766259890036
10,30,128,3,75.94743194314067
10,30,256,1,76.52407134236289
10,30,256,2,76.43288185597426
10,30,256,3,77.1463054847794
10,50,32,1,83.26404720396943
10,50,32,2,83.15676545527693
10,50,32,3,82.87783290867641
10,50,64,1,82.66595145500871
10,50,64,2,84.07134236288051
10,50,64,3,84.04183988199007
10,50,128,1,84.5380179696929
10,50,128,2,84.87327343435697
10,50,128,3,84.55142818827947
10,50,256,1,85.47136918331769
10,50,256,2,85.35067721603862
10,50,256,3,85.22193911760762
10,80,32,1,88.74078047472173
10,80,32,2,89.00362075901837
10,80,32,3,89.55075767735013
10,80,64,1,89.86455679227572
10,80,64,2,90.16226364489741
10,80,64,3,90.45192436636717
10,80,128,1,90.65575968888292
10,80,128,2,90.69330830092531
10,80,128,3,90.2427249564168
10,80,256,1,90.7549953064235
10,80,256,2,91.44964462920746
10,80,256,3,91.30749631218988
10,100,32,1,92.20061687005499
10,100,32,2,92.4178624111573
10,100,32,3,92.56001072817487
10,100,64,1,93.0991015153547
10,100,64,2,93.33243931876089
10,100,64,3,92.3105806624648
10,100,128,1,93.20101917661258
10,100,128,2,93.42631084886683
10,100,128,3,93.2063832640472
10,100,256,1,93.35925975593402
10,100,256,2,93.75620222609629
10,100,256,3,93.85811988735416
10,150,32,1,94.56008583690988
10,150,32,2,94.20064377682404
10,150,32,3,94.09603004291846
10,150,64,1,95.31384120171674
10,150,64,2,95.01877682403433
10,150,64,3,94.19527896995709
10,150,128,1,94.73175965665236
10,150,128,2,94.7612660944206
10,150,128,3,95.2172746781116
10,150,256,1,95.27628755364807
10,150,256,2,95.75912017167381
10,150,256,3,94.88197424892704
10,200,32,1,95.12718686272406
10,200,32,2,95.47064505742192
10,200,32,3,94.51808522056456
10,200,64,1,95.47601159171407
10,200,64,2,95.45454545454545
10,200,64,3,95.78727058065901
10,200,128,1,95.40356337876999
10,200,128,2,95.82751958785016
10,200,128,3,95.04400558119566
10,200,256,1,96.15756144681764
10,200,256,2,95.19963507566813
10,200,256,3,95.00375657400451
15,30,32,1,70.11545114445472
15,30,32,2,71.28203065288226
15,30,32,3,71.02055593547608
15,30,64,1,71.3303029084034
15,30,64,2,71.70843557665232
15,30,64,3,70.3688804859407
15,30,128,1,71.53948268232833
15,30,128,2,72.09863630878152
15,30,128,3,72.68192606299529
15,30,256,1,73.35773764029125
15,30,256,2,74.03757190554728
15,30,256,3,74.58868015608029
15,50,32,1,80.51649812658636
15,50,32,2,80.61721929011723
15,50,32,3,80.38757503726683
15,50,64,1,80.78643084484912
15,50,64,2,81.61234438580234
15,50,64,3,82.25695983239999
15,50,128,1,82.08371943112687
15,50,128,2,81.60428669271987
15,50,128,3,82.3496233028484
15,50,256,1,82.0192578864671
15,50,256,2,82.6235848676524
15,50,256,3,82.87740219975021
