gap,seq_num,hidden_size,num_layer,ACC
3,30,32,1,89.68154637741621
3,30,32,2,89.93881240439438
3,30,32,3,88.89584202475316
3,30,64,1,89.44513975803088
3,30,64,2,89.43123348630232
3,30,64,3,89.34779585593103
3,30,128,1,90.00139062717285
3,30,128,2,89.45904602975942
3,30,128,3,89.3269364483382
3,30,256,1,88.10318453622584
3,30,256,2,88.33959115561117
3,30,256,3,88.68724794882492
3,30,512,1,89.70240578500903
3,30,512,2,89.11834237240996
3,30,512,3,89.2991239048811
3,30,1024,1,89.40342094284523
3,30,1024,2,89.47990543735224
3,30,1024,3,88.87498261716034
3,50,32,1,93.29234209055338
3,50,32,2,93.42509782001117
3,50,32,3,93.11766349916154
3,50,64,1,93.55086640581331
3,50,64,2,92.9988820570151
3,50,64,3,92.7333705980995
3,50,128,1,92.98490776970374
3,50,128,2,92.53074343208496
3,50,128,3,93.39714924538849
3,50,256,1,92.55170486305198
3,50,256,2,93.34823923979877
3,50,256,3,93.18054779206261
3,50,512,1,93.55785354946897
3,50,512,2,92.40497484628284
3,50,512,3,93.04779206260481
3,50,1024,1,92.27221911682504
3,50,1024,2,92.92202347680268
3,50,1024,3,92.50978200111794
3,80,32,1,95.81192369958471
3,80,32,2,95.67818680931936
3,80,32,3,95.2980924896178
3,80,64,1,95.36848032659957
3,80,64,2,95.81896248328289
3,80,64,3,95.16435559935243
3,80,128,1,95.53741113535581
3,80,128,2,95.31217005701414
3,80,128,3,95.2980924896178
3,80,256,1,95.46702329837404
3,80,256,2,94.90392060251989
3,80,256,3,95.26289857112691
3,80,512,1,95.60779897233758
3,80,512,2,95.24882100373055
3,80,512,3,95.51629478426128
3,80,1024,1,95.81192369958471
3,80,1024,2,95.3895966776941
3,80,1024,3,94.41824452734568
3,100,32,1,96.1383407596011
3,100,32,2,95.98981540420115
3,100,32,3,95.8978711365726
3,100,64,1,95.74227314520121
3,100,64,2,95.86250795671546
3,100,64,3,95.97567013225829
3,100,128,1,95.2613338991442
3,100,128,2,95.59374778980126
3,100,128,3,95.82007214088691
3,100,256,1,95.94737958837258
3,100,256,2,96.04639649197256
3,100,256,3,96.08883230780111
3,100,512,1,95.96859749628686
3,100,512,2,95.74934578117265
3,100,512,3,95.6574015135441
3,100,1024,1,95.9261616804583
3,100,1024,2,95.91908904448688
3,100,1024,3,96.02517858405828
3,150,32,1,96.49047414410543
3,150,32,2,96.03924939120469
3,150,32,3,96.47614954877525
3,150,64,1,96.18249534450652
3,150,64,2,96.23979372582724
3,150,64,3,96.06789858186507
3,150,128,1,96.17533304684143
3,150,128,2,96.21114453516688
3,150,128,3,95.8745165449076
3,150,256,1,96.36155278613379
3,150,256,2,96.49047414410543
3,150,256,3,96.09654777252543
3,150,512,1,96.37587738146398
3,150,512,2,96.32574129780834
3,150,512,3,96.28992980948289
3,150,1024,1,96.37587738146398
3,150,1024,2,96.29709210714798
3,150,1024,3,96.41168886978943
3,200,32,1,96.72154928555886
3,200,32,2,96.43867411329514
3,200,32,3,96.34438238920723
3,200,64,1,96.26459708420977
3,200,64,2,96.54021904692827
3,200,64,3,96.22107782693843
3,200,128,1,96.32987597011677
3,200,128,2,96.32262276057155
3,200,128,3,96.35888880829768
3,200,256,1,96.01073475012693
3,200,256,2,96.69253644737796
3,200,256,3,96.43142090374991
3,200,512,1,96.52571262783782
3,200,512,2,96.43142090374991
3,200,512,3,96.17755856966708
3,200,1024,1,96.71429607601364
3,200,1024,2,96.28635671284543
3,200,1024,3,95.82215130195111
3,250,32,1,96.51828999559277
3,250,32,2,96.2612017041281
3,250,32,3,96.67254297047157
3,250,64,1,96.44483619803144
3,250,64,2,96.51094461583664
3,250,64,3,96.24651094461584
3,250,128,1,96.47421771705598
3,250,128,2,96.29792860290877
3,250,128,3,96.37872778022624
3,250,256,1,96.6137799324225
3,250,256,2,96.29058322315264
3,250,256,3,96.59174379315411
3,250,512,1,96.2391655648597
3,250,512,2,96.3052739826649
3,250,512,3,96.47421771705598
3,250,1024,1,96.53298075510504
3,250,1024,2,96.49625385632437
3,250,1024,3,96.35669164095783
3,300,32,1,96.27893130907196
3,300,32,2,96.38312123241795
3,300,32,3,96.56917466696436
3,300,64,1,96.5617325295825
3,300,64,2,96.27893130907196
3,300,64,3,96.49475329314579
3,300,128,1,96.53940611743693
3,300,128,2,96.4426583314728
3,300,128,3,96.16729924834412
3,300,256,1,96.34591054550867
3,300,256,2,96.36079482027239
3,300,256,3,96.47986901838208
3,300,512,1,96.31614199598124
3,300,512,2,96.58405894172806
3,300,512,3,96.38312123241795
3,300,1024,1,96.22683634739897
3,300,1024,2,96.50219543052765
3,300,1024,3,96.24172062216269
5,30,32,1,87.47683039851715
5,30,32,2,87.1987951807229
5,30,32,3,87.00185356811863
5,30,64,1,87.31464318813717
5,30,64,2,86.38785912882298
5,30,64,3,87.40732159406858
5,30,128,1,87.23354958294718
5,30,128,2,86.85125115848007
5,30,128,3,87.10611677479147
5,30,256,1,86.34151992585727
5,30,256,2,86.96709916589435
5,30,256,3,86.51529193697868
5,30,512,1,86.74698795180723
5,30,512,2,86.42261353104726
5,30,512,3,87.22196478220575
5,30,1024,1,86.77015755329009
5,30,1024,2,86.39944392956441
5,30,1024,3,86.75857275254866
5,50,32,1,89.38300349243306
5,50,32,2,89.46449359720606
5,50,32,3,89.13853317811409
5,50,64,1,88.75436554132712
5,50,64,2,89.17345750873108
5,50,64,3,89.55762514551805
5,50,128,1,89.41792782305006
5,50,128,2,88.89406286379511
5,50,128,3,89.08032596041909
5,50,256,1,88.75436554132712
5,50,256,2,89.26658905704308
5,50,256,3,89.10360884749709
5,50,512,1,88.64959254947614
5,50,512,2,89.26658905704308
5,50,512,3,88.87077997671712
