seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
350,3,32,1,85.42914171656686,4599,2505
350,3,32,2,85.82834331337325,4599,2505
350,3,32,3,85.06986027944112,4599,2505
350,3,64,1,85.50898203592814,4599,2505
350,3,64,2,85.42914171656686,4599,2505
350,3,64,3,84.67065868263474,4599,2505
350,3,128,1,84.71057884231537,4599,2505
350,3,128,2,85.22954091816368,4599,2505
350,3,128,3,86.54690618762476,4599,2505
350,3,256,1,84.19161676646706,4599,2505
350,3,256,2,84.15169660678643,4599,2505
350,3,256,3,86.42714570858283,4599,2505
350,5,32,1,85.18962075848303,2760,2505
350,5,32,2,85.6686626746507,2760,2505
350,5,32,3,85.42914171656686,2760,2505
350,5,64,1,85.70858283433134,2760,2505
350,5,64,2,84.67065868263474,2760,2505
350,5,64,3,85.42914171656686,2760,2505
350,5,128,1,84.99001996007983,2760,2505
350,5,128,2,84.19161676646706,2760,2505
350,5,128,3,86.78642714570859,2760,2505
350,5,256,1,83.83233532934132,2760,2505
350,5,256,2,86.10778443113773,2760,2505
350,5,256,3,85.9880239520958,2760,2505
350,10,32,1,84.31137724550898,1374,2505
350,10,32,2,84.19161676646706,1374,2505
350,10,32,3,85.46906187624751,1374,2505
350,10,64,1,84.9500998003992,1374,2505
350,10,64,2,85.6686626746507,1374,2505
350,10,64,3,85.46906187624751,1374,2505
350,10,128,1,84.83033932135729,1374,2505
350,10,128,2,85.6686626746507,1374,2505
350,10,128,3,85.30938123752495,1374,2505
350,10,256,1,84.87025948103792,1374,2505
350,10,256,2,86.42714570858283,1374,2505
350,10,256,3,85.38922155688623,1374,2505
400,3,32,1,83.75051292572836,4586,2437
400,3,32,2,84.16085350841198,4586,2437
400,3,32,3,85.76118178087813,4586,2437
400,3,64,1,84.65326220763234,4586,2437
400,3,64,2,86.41772671317193,4586,2437
400,3,64,3,84.81739844070579,4586,2437
400,3,128,1,83.70947886745999,4586,2437
400,3,128,2,86.08945424702503,4586,2437
400,3,128,3,84.53016003282724,4586,2437
400,3,256,1,83.3812064013131,4586,2437
400,3,256,2,82.88879770209273,4586,2437
400,3,256,3,86.04842018875667,4586,2437
400,5,32,1,83.79154698399671,2759,2437
400,5,32,2,85.6791136643414,2759,2437
400,5,32,3,84.11981945014362,2759,2437
400,5,64,1,85.3508411981945,2759,2437
400,5,64,2,85.92531801395158,2759,2437
400,5,64,3,85.10463684858432,2759,2437
400,5,128,1,85.51497743126795,2759,2437
400,5,128,2,84.2429216249487,2759,2437
400,5,128,3,85.3508411981945,2759,2437
400,5,256,1,83.70947886745999,2759,2437
400,5,256,2,84.2429216249487,2759,2437
400,5,256,3,85.6791136643414,2759,2437
400,10,32,1,83.91464915880181,1374,2437
400,10,32,2,85.6791136643414,1374,2437
400,10,32,3,85.06360279031597,1374,2437
400,10,64,1,85.92531801395158,1374,2437
400,10,64,2,85.39187525646287,1374,2437
400,10,64,3,86.17152236356176,1374,2437
400,10,128,1,85.0225687320476,1374,2437
400,10,128,2,84.98153467377924,1374,2437
400,10,128,3,86.08945424702503,1374,2437
400,10,256,1,85.26877308165777,1374,2437
400,10,256,2,84.81739844070579,1374,2437
400,10,256,3,84.2429216249487,1374,2437
