gap,seq_num,hidden_size,num_layer,ACC,train_size_localization,train_size_detection
3,30,32,1,82.38716148445336,4984,28764
3,30,32,2,82.6680040120361,4984,28764
3,30,32,3,83.77131394182548,4984,28764
3,30,64,1,83.10932798395186,4984,28764
3,30,64,2,82.82848545636911,4984,28764
3,30,64,3,82.76830491474423,4984,28764
3,30,128,1,82.5075225677031,4984,28764
3,30,128,2,82.04613841524574,4984,28764
3,30,128,3,83.12938816449348,4984,28764
3,30,256,1,85.13540621865597,4984,28764
3,30,256,2,83.04914744232698,4984,28764
3,30,256,3,83.6308926780341,4984,28764
3,30,512,1,84.73420260782348,4984,28764
3,30,512,2,83.71113340020061,4984,28764
3,30,512,3,83.45035105315948,4984,28764
3,30,1024,1,83.65095285857572,4984,28764
3,30,1024,2,83.59077231695085,4984,28764
3,30,1024,3,83.67101303911735,4984,28764
3,50,32,1,91.21716462803289,4986,28623
3,50,32,2,91.11690395027071,4986,28623
3,50,32,3,89.0715861239222,4986,28623
3,50,64,1,90.21455785041107,4986,28623
3,50,64,2,92.40024062562662,4986,28623
3,50,64,3,91.21716462803289,4986,28623
3,50,128,1,92.17966713454983,4986,28623
3,50,128,2,91.39763384800482,4986,28623
3,50,128,3,91.3374774413475,4986,28623
3,50,256,1,92.25987567675958,4986,28623
3,50,256,2,93.1622217766192,4986,28623
3,50,256,3,92.1596149989974,4986,28623
3,50,512,1,93.3226388610387,4986,28623
3,50,512,2,92.19971927010226,4986,28623
3,50,512,3,91.7786244235011,4986,28623
3,50,1024,1,92.56065771004612,4986,28623
3,50,1024,2,92.62081411670343,4986,28623
3,50,1024,3,91.69841588129135,4986,28623
3,80,32,1,95.44816522959695,4986,28413
3,80,32,2,93.88409865650692,4986,28413
3,80,32,3,94.58592340084219,4986,28413
3,80,64,1,96.04972929617004,4986,28413
3,80,64,2,94.88670543412873,4986,28413
3,80,64,3,94.06456787647885,4986,28413
3,80,128,1,94.80649689191898,4986,28413
3,80,128,2,95.84920794064568,4986,28413
3,80,128,3,95.44816522959695,4986,28413
3,80,256,1,94.52576699418488,4986,28413
3,80,256,2,95.1473831963104,4986,28413
3,80,256,3,95.18748746741528,4986,28413
3,80,512,1,95.70884299177862,4986,28413
3,80,512,2,95.76899939843594,4986,28413
3,80,512,3,95.42811309404452,4986,28413
3,80,1024,1,95.06717465410067,4986,28413
3,80,1024,2,95.8091036695408,4986,28413
3,80,1024,3,94.54581912973731,4986,28413
3,100,32,1,96.62650602409639,4979,28277
3,100,32,2,96.10441767068274,4979,28277
3,100,32,3,96.62650602409639,4979,28277
3,100,64,1,97.81124497991968,4979,28277
3,100,64,2,97.38955823293173,4979,28277
3,100,64,3,96.52610441767068,4979,28277
3,100,128,1,97.59036144578313,4979,28277
3,100,128,2,97.20883534136546,4979,28277
3,100,128,3,97.44979919678715,4979,28277
3,100,256,1,97.73092369477912,4979,28277
3,100,256,2,97.44979919678715,4979,28277
3,100,256,3,97.34939759036145,4979,28277
3,100,512,1,97.40963855421687,4979,28277
3,100,512,2,96.60642570281125,4979,28277
3,100,512,3,97.6706827309237,4979,28277
3,100,1024,1,97.99196787148594,4979,28277
3,100,1024,2,97.16867469879519,4979,28277
3,100,1024,3,97.34939759036145,4979,28277
3,150,32,1,98.69608826479438,4984,27924
3,150,32,2,98.05416248746239,4984,27924
3,150,32,3,97.79338014042126,4984,27924
3,150,64,1,98.69608826479438,4984,27924
3,150,64,2,98.37512537612838,4984,27924
3,150,64,3,98.3149448345035,4984,27924
3,150,128,1,98.39518555667001,4984,27924
3,150,128,2,98.39518555667001,4984,27924
3,150,128,3,98.27482447342027,4984,27924
3,150,256,1,98.55566700100302,4984,27924
3,150,256,2,98.3149448345035,4984,27924
3,150,256,3,98.55566700100302,4984,27924
3,150,512,1,98.77632898696088,4984,27924
3,150,512,2,98.51554663991976,4984,27924
3,150,512,3,98.3149448345035,4984,27924
3,150,1024,1,98.89669007021064,4984,27924
3,150,1024,2,98.876629889669,4984,27924
3,150,1024,3,99.09729187562688,4984,27924
3,200,32,1,99.35833166232204,4986,27573
3,200,32,2,99.25807098455985,4986,27573
3,200,32,3,98.47603769801484,4986,27573
3,200,64,1,99.57890515339884,4986,27573
3,200,64,2,98.85702827351113,4986,27573
3,200,64,3,99.25807098455985,4986,27573
3,200,128,1,99.37838379787448,4986,27573
3,200,128,2,99.5588530178464,4986,27573
3,200,128,3,99.05754962903549,4986,27573
3,200,256,1,99.43854020453178,4986,27573
3,200,256,2,99.29817525566473,4986,27573
3,200,256,3,99.53880088229397,4986,27573
3,200,512,1,98.75676759574895,4986,27573
3,200,512,2,99.29817525566473,4986,27573
3,200,512,3,99.23801884900742,4986,27573
3,200,1024,1,99.57890515339884,4986,27573
3,200,1024,2,99.51874874674152,4986,27573
3,200,1024,3,98.69661118909164,4986,27573
3,250,32,1,99.29718875502007,4979,27227
3,250,32,2,99.09638554216868,4979,27227
3,250,32,3,99.13654618473896,4979,27227
3,250,64,1,99.63855421686748,4979,27227
3,250,64,2,99.41767068273093,4979,27227
3,250,64,3,99.09638554216868,4979,27227
3,250,128,1,99.39759036144578,4979,27227
3,250,128,2,99.03614457831326,4979,27227
3,250,128,3,99.1566265060241,4979,27227
3,250,256,1,99.31726907630522,4979,27227
3,250,256,2,99.31726907630522,4979,27227
3,250,256,3,99.35742971887551,4979,27227
3,250,512,1,99.47791164658635,4979,27227
3,250,512,2,99.39759036144578,4979,27227
3,250,512,3,99.47791164658635,4979,27227
3,250,1024,1,99.5582329317269,4979,27227
3,250,1024,2,99.43775100401606,4979,27227
3,250,1024,3,99.51807228915662,4979,27227
3,300,32,1,99.81945837512538,4984,26874
3,300,32,2,99.7592778335005,4984,26874
3,300,32,3,99.71915747241725,4984,26874
3,300,64,1,99.77933801404212,4984,26874
3,300,64,2,99.5987963891675,4984,26874
3,300,64,3,99.31795386158475,4984,26874
3,300,128,1,99.73921765295887,4984,26874
3,300,128,2,99.81945837512538,4984,26874
3,300,128,3,99.81945837512538,4984,26874
3,300,256,1,99.87963891675025,4984,26874
3,300,256,2,99.7592778335005,4984,26874
3,300,256,3,99.61885656970912,4984,26874
3,300,512,1,99.85957873620863,4984,26874
3,300,512,2,99.85957873620863,4984,26874
3,300,512,3,99.839518555667,4984,26874
3,300,1024,1,99.839518555667,4984,26874
3,300,1024,2,99.839518555667,4984,26874
3,300,1024,3,99.839518555667,4984,26874
5,30,32,1,74.74916387959867,2989,17263
5,30,32,2,78.39464882943143,2989,17263
5,30,32,3,76.15384615384616,2989,17263
5,30,64,1,75.55183946488295,2989,17263
5,30,64,2,77.25752508361204,2989,17263
5,30,64,3,77.19063545150502,2989,17263
5,30,128,1,78.62876254180603,2989,17263
5,30,128,2,75.05016722408027,2989,17263
5,30,128,3,77.79264214046823,2989,17263
5,30,256,1,78.69565217391305,2989,17263
5,30,256,2,78.26086956521739,2989,17263
5,30,256,3,78.69565217391305,2989,17263
5,30,512,1,78.32775919732441,2989,17263
5,30,512,2,78.19397993311037,2989,17263
5,30,512,3,78.09364548494983,2989,17263
5,30,1024,1,79.1304347826087,2989,17263
5,30,1024,2,78.36120401337793,2989,17263
5,30,1024,3,77.92642140468227,2989,17263
5,50,32,1,85.41806020066889,2989,17179
5,50,32,2,85.18394648829431,2989,17179
5,50,32,3,83.07692307692308,2989,17179
5,50,64,1,83.7123745819398,2989,17179
5,50,64,2,84.44816053511705,2989,17179
5,50,64,3,84.64882943143813,2989,17179
5,50,128,1,83.21070234113712,2989,17179
5,50,128,2,85.31772575250837,2989,17179
5,50,128,3,84.88294314381271,2989,17179
5,50,256,1,84.58193979933111,2989,17179
5,50,256,2,86.72240802675586,2989,17179
5,50,256,3,84.04682274247492,2989,17179
5,50,512,1,85.41806020066889,2989,17179
5,50,512,2,85.68561872909699,2989,17179
5,50,512,3,83.54515050167224,2989,17179
5,50,1024,1,85.58528428093645,2989,17179
5,50,1024,2,85.38461538461539,2989,17179
5,50,1024,3,84.64882943143813,2989,17179
5,80,32,1,89.53177257525084,2989,17053
5,80,32,2,87.22408026755853,2989,17053
5,80,32,3,86.95652173913044,2989,17053
5,80,64,1,89.49832775919732,2989,17053
5,80,64,2,89.23076923076923,2989,17053
5,80,64,3,87.82608695652173,2989,17053
