gap,seq_num,hidden_size,num_layer,ACC,train_size,val_size
1,30,32,1,87.70477364805355,57320,5677
1,30,32,2,87.82807821032236,57320,5677
1,30,32,3,87.88092302272327,57320,5677
1,30,64,1,88.05707239739299,57320,5677
1,30,64,2,87.7400035229875,57320,5677
1,30,64,3,87.70477364805355,57320,5677
1,30,128,1,89.04350889554343,57320,5677
1,30,128,2,88.49744583406729,57320,5677
1,30,128,3,87.75761846045447,57320,5677
1,30,256,1,87.96899771005813,57320,5677
1,30,256,2,87.45816452351595,57320,5677
1,30,256,3,87.75761846045447,57320,5677
1,30,512,1,88.2332217720627,57320,5677
1,30,512,2,87.7400035229875,57320,5677
1,30,512,3,87.88092302272327,57320,5677
1,30,1024,1,88.35652633433152,57320,5677
1,30,1024,2,88.32129645939757,57320,5677
1,30,1024,3,87.59908402325172,57320,5677
1,50,32,1,88.05649919542284,56900,5593
1,50,32,2,88.39620954764885,56900,5593
1,50,32,3,88.16377614875738,56900,5593
1,50,64,1,88.61076345431789,56900,5593
1,50,64,2,88.86107634543178,56900,5593
1,50,64,3,88.07437868764526,56900,5593
1,50,128,1,88.53924548542821,56900,5593
1,50,128,2,87.94922224208833,56900,5593
1,50,128,3,88.16377614875738,56900,5593
1,50,256,1,88.53924548542821,56900,5593
1,50,256,2,88.62864294654032,56900,5593
1,50,256,3,88.12801716431254,56900,5593
1,50,512,1,88.39620954764885,56900,5593
1,50,512,2,87.87770427319865,56900,5593
1,50,512,3,88.2710531020919,56900,5593
1,50,1024,1,87.55587341319506,56900,5593
1,50,1024,2,88.05649919542284,56900,5593
1,50,1024,3,88.52136599320579,56900,5593
1,80,32,1,89.50064020486556,56270,5467
1,80,32,2,89.6103896103896,56270,5467
1,80,32,3,88.67751966343516,56270,5467
1,80,64,1,88.75068593378452,56270,5467
1,80,64,2,89.09822571794403,56270,5467
1,80,64,3,89.7750137186757,56270,5467
1,80,128,1,88.75068593378452,56270,5467
1,80,128,2,88.03731479787818,56270,5467
1,80,128,3,89.79330528626303,56270,5467
1,80,256,1,89.46405706969087,56270,5467
1,80,256,2,88.86043533930858,56270,5467
1,80,256,3,89.40918236692885,56270,5467
1,80,512,1,89.35430766416683,56270,5467
1,80,512,2,89.37259923175417,56270,5467
1,80,512,3,89.53722334004024,56270,5467
1,80,1024,1,89.53722334004024,56270,5467
1,80,1024,2,89.11651728553137,56270,5467
1,80,1024,3,89.53722334004024,56270,5467
