gap,seq_num,hidden_size,num_layer,ACC,train_size,val_size

1,30,32,1,87.70477364805355,57320,5677
1,30,32,2,87.82807821032236,57320,5677
1,30,32,3,87.88092302272327,57320,5677
1,30,64,1,88.05707239739299,57320,5677
1,30,64,2,87.7400035229875,57320,5677
1,30,64,3,87.70477364805355,57320,5677
1,30,128,1,89.04350889554343,57320,5677
1,30,128,2,88.49744583406729,57320,5677
1,30,128,3,87.75761846045447,57320,5677
1,30,256,1,87.96899771005813,57320,5677
1,30,256,2,87.45816452351595,57320,5677
1,30,256,3,87.75761846045447,57320,5677
1,30,512,1,88.2332217720627,57320,5677
1,30,512,2,87.7400035229875,57320,5677
1,30,512,3,87.88092302272327,57320,5677
1,30,1024,1,88.35652633433152,57320,5677
1,30,1024,2,88.32129645939757,57320,5677
1,30,1024,3,87.59908402325172,57320,5677
1,50,32,1,88.05649919542284,56900,5593
1,50,32,2,88.39620954764885,56900,5593
1,50,32,3,88.16377614875738,56900,5593
1,50,64,1,88.61076345431789,56900,5593
1,50,64,2,88.86107634543178,56900,5593
1,50,64,3,88.07437868764526,56900,5593
1,50,128,1,88.53924548542821,56900,5593
1,50,128,2,87.94922224208833,56900,5593
1,50,128,3,88.16377614875738,56900,5593
1,50,256,1,88.53924548542821,56900,5593
1,50,256,2,88.62864294654032,56900,5593
1,50,256,3,88.12801716431254,56900,5593
1,50,512,1,88.39620954764885,56900,5593
1,50,512,2,87.87770427319865,56900,5593
1,50,512,3,88.2710531020919,56900,5593
1,50,1024,1,87.55587341319506,56900,5593
1,50,1024,2,88.05649919542284,56900,5593
1,50,1024,3,88.52136599320579,56900,5593
1,80,32,1,89.50064020486556,56270,5467
1,80,32,2,89.6103896103896,56270,5467
1,80,32,3,88.67751966343516,56270,5467
1,80,64,1,88.75068593378452,56270,5467
1,80,64,2,89.09822571794403,56270,5467
1,80,64,3,89.7750137186757,56270,5467
1,80,128,1,88.75068593378452,56270,5467
1,80,128,2,88.03731479787818,56270,5467
1,80,128,3,89.79330528626303,56270,5467
1,80,256,1,89.46405706969087,56270,5467
1,80,256,2,88.86043533930858,56270,5467
1,80,256,3,89.40918236692885,56270,5467
1,80,512,1,89.35430766416683,56270,5467
1,80,512,2,89.37259923175417,56270,5467
1,80,512,3,89.53722334004024,56270,5467
1,80,1024,1,89.53722334004024,56270,5467
1,80,1024,2,89.11651728553137,56270,5467
1,80,1024,3,89.53722334004024,56270,5467
1,100,32,1,88.51941296674717,55850,5383
1,100,32,2,89.39253204532788,55850,5383
1,100,32,3,89.98699609882965,55850,5383
1,100,64,1,90.46999814229983,55850,5383
1,100,64,2,91.19450120750511,55850,5383
1,100,64,3,90.8229611740665,55850,5383
1,100,128,1,87.5534088798068,55850,5383
1,100,128,2,88.68660598179454,55850,5383
1,100,128,3,90.0798811071893,55850,5383
1,100,256,1,89.29964703696824,55850,5383
1,100,256,2,89.18818502693665,55850,5383
1,100,256,3,87.47910087311908,55850,5383
1,100,512,1,88.44510496005945,55850,5383
1,100,512,2,89.94984209548579,55850,5383
1,100,512,3,88.79806799182612,55850,5383
1,100,1024,1,89.94984209548579,55850,5383
1,100,1024,2,89.68976407207877,55850,5383
1,100,1024,3,89.24391603195244,55850,5383
1,150,32,1,88.47863908757007,54800,5173
1,150,32,2,87.55074424898511,54800,5173
1,150,32,3,88.11134738063019,54800,5173
1,150,64,1,87.72472453121979,54800,5173
1,150,64,2,90.99168760873768,54800,5173
1,150,64,3,88.61395708486371,54800,5173
1,150,128,1,87.84071138604291,54800,5173
1,150,128,2,88.03402281074811,54800,5173
1,150,128,3,90.4310844770926,54800,5173
1,150,256,1,88.47863908757007,54800,5173
1,150,256,2,89.61917649333076,54800,5173
1,150,256,3,89.367871641214,54800,5173
1,150,512,1,87.14479025710419,54800,5173
1,150,512,2,88.34332109027643,54800,5173
1,150,512,3,89.1745602165088,54800,5173
1,150,1024,1,89.05857336168567,54800,5173
1,150,1024,2,90.66305818673884,54800,5173
1,150,1024,3,89.03924221921515,54800,5173
1,200,32,1,86.33890791859763,53750,4963
1,200,32,2,86.35905702196253,53750,4963
1,200,32,3,87.12472294982874,53750,4963
1,200,64,1,84.14265565182349,53750,4963
1,200,64,2,85.39190006044731,53750,4963
1,200,64,3,87.52770501712673,53750,4963
1,200,128,1,86.29860971186783,53750,4963
1,200,128,2,87.02397743300423,53750,4963
1,200,128,3,84.4851904090268,53750,4963
1,200,256,1,86.96353012290953,53750,4963
1,200,256,2,84.6866814426758,53750,4963
1,200,256,3,84.9486197864195,53750,4963
1,200,512,1,87.30606488011283,53750,4963
1,200,512,2,88.61575659883135,53750,4963
1,200,512,3,86.62099536570622,53750,4963
1,200,1024,1,87.48740681039693,53750,4963
1,200,1024,2,86.52024984888172,53750,4963
1,200,1024,3,89.22022969977836,53750,4963
3,30,32,1,85.05130597014926,14283,8576
3,30,32,2,85.37779850746269,14283,8576
3,30,32,3,84.81809701492537,14283,8576
3,30,64,1,85.07462686567165,14283,8576
3,30,64,2,85.17957089552239,14283,8576
3,30,64,3,85.02798507462687,14283,8576
3,30,128,1,85.10960820895522,14283,8576
3,30,128,2,84.91138059701493,14283,8576
3,30,128,3,84.9463619402985,14283,8576
3,30,256,1,85.38945895522389,14283,8576
3,30,256,2,84.84141791044776,14283,8576
3,30,256,3,85.34281716417911,14283,8576
5,30,32,1,85.69263059701493,8575,8576
5,30,32,2,85.24953358208955,8575,8576
5,30,32,3,84.92304104477611,8575,8576
5,30,64,1,85.29617537313433,8575,8576
5,30,64,2,84.70149253731343,8575,8576
5,30,64,3,84.67817164179104,8575,8576
5,30,128,1,85.02798507462687,8575,8576
5,30,128,2,85.15625,8575,8576
5,30,128,3,84.89972014925372,8575,8576
5,30,256,1,84.89972014925372,8575,8576
5,30,256,2,85.10960820895522,8575,8576
5,30,256,3,84.98134328358209,8575,8576
10,30,32,1,84.04850746268657,4293,8576
10,30,32,2,84.52658582089552,4293,8576
10,30,32,3,84.09514925373135,4293,8576
10,30,64,1,84.46828358208955,4293,8576
10,30,64,2,84.27005597014926,4293,8576
10,30,64,3,84.44496268656717,4293,8576
10,30,128,1,84.14179104477611,4293,8576
10,30,128,2,84.08348880597015,4293,8576
10,30,128,3,84.03684701492537,4293,8576
10,30,256,1,83.9668843283582,4293,8576
10,30,256,2,84.02518656716418,4293,8576
10,30,256,3,83.93190298507463,4293,8576
15,30,32,1,83.88526119402985,2866,8576
15,30,32,2,83.52378731343283,2866,8576
15,30,32,3,84.29337686567165,2866,8576
15,30,64,1,84.07182835820896,2866,8576
15,30,64,2,84.32835820895522,2866,8576
15,30,64,3,83.75699626865672,2866,8576
15,30,128,1,83.64039179104478,2866,8576
15,30,128,2,84.06016791044776,2866,8576
15,30,128,3,83.06902985074628,2866,8576
15,30,256,1,84.51492537313433,2866,8576
15,30,256,2,83.51212686567165,2866,8576
15,30,256,3,84.49160447761194,2866,8576
3,50,32,1,85.42157324540744,14143,8492
3,50,32,2,85.30381535562883,14143,8492
3,50,32,3,85.72774375883183,14143,8492
3,50,64,1,86.22232689590203,14143,8492
3,50,64,2,85.25671219971738,14143,8492
3,50,64,3,85.38624587847386,14143,8492
3,50,128,1,85.55110692416392,14143,8492
3,50,128,2,86.48139425341498,14143,8492
3,50,128,3,86.16344795101271,14143,8492
3,50,256,1,86.15167216203486,14143,8492
3,50,256,2,85.71596796985398,14143,8492
