seq_num,d_model,n_head,num_layer,dropout,learning_rate,weight_decay,ACC
100,64,1,1,0.3,0.0001,0.0001,83.03428388337072
100,64,1,4,0.3,0.0001,0.0001,88.78564562640179
100,64,1,8,0.3,0.0001,0.0001,89.61871195129766
100,64,4,1,0.3,0.0001,0.0001,83.57898109580263
100,64,4,4,0.3,0.0001,0.0001,82.31336110221083
100,64,4,8,0.3,0.0001,0.0001,89.39442486382569
100,64,8,1,0.3,0.0001,0.0001,83.8192886895226
100,64,8,4,0.3,0.0001,0.0001,88.38513297020185
100,64,8,8,0.3,0.0001,0.0001,89.3784043575777
100,128,1,1,0.3,0.0001,0.0001,83.61102210829863
100,128,1,4,0.3,0.0001,0.0001,89.05799423261774
100,128,1,8,0.3,0.0001,0.0001,89.76289650752963
100,128,4,1,0.3,0.0001,0.0001,83.45081704581865
100,128,4,4,0.3,0.0001,0.0001,88.88176866388977
100,128,4,8,0.3,0.0001,0.0001,88.89778917013777
100,128,8,1,0.3,0.0001,0.0001,87.98462031400192
100,128,8,4,0.3,0.0001,0.0001,88.32105094520986
100,128,8,8,0.3,0.0001,0.0001,89.02595322012175
100,256,1,1,0.3,0.0001,0.0001,86.84716437039411
100,256,1,4,0.3,0.0001,0.0001,89.44248638256968
100,256,1,8,0.3,0.0001,0.0001,89.3784043575777
100,256,4,1,0.3,0.0001,0.0001,88.03268183274591
100,256,4,4,0.3,0.0001,0.0001,88.30503043896186
100,256,4,8,0.3,0.0001,0.0001,89.04197372636975
100,256,8,1,0.3,0.0001,0.0001,88.54533803268183
100,256,8,4,0.3,0.0001,0.0001,89.13809676385773
100,256,8,8,0.3,0.0001,0.0001,89.3463633450817
100,512,1,1,0.3,0.0001,0.0001,86.68695930791414
100,512,1,4,0.3,0.0001,0.0001,89.20217878884972
100,512,1,8,0.3,0.0001,0.0001,89.21819929509772
100,512,4,1,0.3,0.0001,0.0001,89.3303428388337
100,512,4,4,0.3,0.0001,0.0001,89.26626081384171
