gap,seq_num,hidden_size,num_layer,ACC
5,300,32,1,89.99251577034107
5,300,32,2,89.22270929113654
5,300,32,3,90.20635090345344
5,300,64,1,90.11012509355287
5,300,64,2,90.00320752699669
5,300,64,3,90.16358387683097
5,300,128,1,89.75729712391745
5,300,128,2,90.00320752699669
5,300,128,3,89.9604405003742
5,300,256,1,89.9604405003742
5,300,256,2,90.08874158024163
5,300,256,3,89.91767347375173
5,300,512,1,89.88559820378488
5,300,512,2,90.05666631027478
5,300,512,3,89.97113225702984
5,300,1024,1,89.59692077408319
5,300,1024,2,90.09943333689725
5,300,1024,3,89.59692077408319
