seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
250,3,32,1,81.15881617340558,3600,2399
250,3,32,2,84.03501458941226,3600,2399
250,3,32,3,84.07669862442684,3600,2399
250,3,64,1,84.61859107961651,3600,2399
250,3,64,2,83.57649020425177,3600,2399
250,3,64,3,82.95122967903293,3600,2399
250,3,128,1,83.8682784493539,3600,2399
250,3,128,2,83.11796581909128,3600,2399
250,3,128,3,84.07669862442684,3600,2399
250,3,256,1,82.70112546894539,3600,2399
250,3,256,2,83.65985827428095,3600,2399
250,3,256,3,84.66027511463109,3600,2399
250,5,32,1,83.0762817840767,2155,2399
250,5,32,2,82.61775739891621,2155,2399
250,5,32,3,83.70154230929553,2155,2399
250,5,64,1,82.70112546894539,2155,2399
250,5,64,2,84.2434347644852,2155,2399
250,5,64,3,83.32638599416424,2155,2399
250,5,128,1,82.65944143393081,2155,2399
250,5,128,2,83.82659441433931,2155,2399
250,5,128,3,84.66027511463109,2155,2399
250,5,256,1,82.74280950395999,2155,2399
250,5,256,2,82.78449353897457,2155,2399
250,5,256,3,83.15964985410588,2155,2399
250,10,32,1,81.53397248853689,1080,2399
250,10,32,2,84.57690704460192,1080,2399
250,10,32,3,83.28470195914964,1080,2399
250,10,64,1,82.45102125885786,1080,2399
250,10,64,2,83.57649020425177,1080,2399
250,10,64,3,83.03459774906212,1080,2399
250,10,128,1,83.0762817840767,1080,2399
250,10,128,2,84.74364318466027,1080,2399
250,10,128,3,83.82659441433931,1080,2399
250,10,256,1,81.82576073363902,1080,2399
250,10,256,2,81.4922884535223,1080,2399
250,10,256,3,82.36765318882868,1080,2399
300,3,32,1,82.77056277056278,3604,2310
300,3,32,2,82.07792207792208,3604,2310
300,3,32,3,84.97835497835497,3604,2310
300,3,64,1,82.72727272727273,3604,2310
300,3,64,2,84.19913419913419,3604,2310
300,3,64,3,85.15151515151516,3604,2310
300,3,128,1,82.59740259740259,3604,2310
300,3,128,2,84.11255411255411,3604,2310
300,3,128,3,85.28138528138528,3604,2310
300,3,256,1,84.11255411255411,3604,2310
300,3,256,2,84.37229437229438,3604,2310
300,3,256,3,84.89177489177489,3604,2310
300,5,32,1,82.42424242424242,2155,2310
300,5,32,2,83.07359307359307,2155,2310
300,5,32,3,82.81385281385282,2155,2310
300,5,64,1,84.15584415584415,2155,2310
300,5,64,2,82.85714285714286,2155,2310
300,5,64,3,84.15584415584415,2155,2310
300,5,128,1,83.2034632034632,2155,2310
300,5,128,2,83.11688311688312,2155,2310
300,5,128,3,84.54545454545455,2155,2310
300,5,256,1,83.98268398268398,2155,2310
300,5,256,2,84.37229437229438,2155,2310
300,5,256,3,84.67532467532467,2155,2310
300,10,32,1,81.34199134199135,1080,2310
300,10,32,2,83.93939393939394,1080,2310
300,10,32,3,82.9004329004329,1080,2310
300,10,64,1,81.73160173160173,1080,2310
300,10,64,2,83.37662337662337,1080,2310
300,10,64,3,84.97835497835497,1080,2310
300,10,128,1,82.59740259740259,1080,2310
300,10,128,2,84.93506493506493,1080,2310
300,10,128,3,83.46320346320347,1080,2310
300,10,256,1,83.16017316017316,1080,2310
300,10,256,2,82.20779220779221,1080,2310
300,10,256,3,83.80952380952381,1080,2310
