seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
30,3,32,1,50.29090909090909,3604,2750
30,3,32,2,49.96363636363636,3604,2750
30,3,32,3,52.61818181818182,3604,2750
30,3,64,1,50.981818181818184,3604,2750
30,3,64,2,52.03636363636364,3604,2750
30,3,64,3,51.2,3604,2750
30,3,128,1,50.07272727272727,3604,2750
30,3,128,2,50.18181818181818,3604,2750
30,3,128,3,52.0,3604,2750
30,3,256,1,49.527272727272724,3604,2750
30,3,256,2,49.81818181818182,3604,2750
30,3,256,3,50.61818181818182,3604,2750
30,5,32,1,48.69090909090909,2155,2750
30,5,32,2,50.4,2155,2750
30,5,32,3,49.67272727272727,2155,2750
30,5,64,1,49.2,2155,2750
30,5,64,2,49.81818181818182,2155,2750
30,5,64,3,50.61818181818182,2155,2750
30,5,128,1,49.78181818181818,2155,2750
30,5,128,2,51.74545454545454,2155,2750
30,5,128,3,51.49090909090909,2155,2750
30,5,256,1,48.69090909090909,2155,2750
30,5,256,2,50.18181818181818,2155,2750
30,5,256,3,50.654545454545456,2155,2750
30,10,32,1,47.127272727272725,1080,2750
30,10,32,2,47.63636363636363,1080,2750
30,10,32,3,46.4,1080,2750
30,10,64,1,46.61818181818182,1080,2750
30,10,64,2,47.74545454545454,1080,2750
30,10,64,3,47.018181818181816,1080,2750
30,10,128,1,47.74545454545454,1080,2750
30,10,128,2,47.527272727272724,1080,2750
30,10,128,3,46.4,1080,2750
30,10,256,1,47.56363636363636,1080,2750
30,10,256,2,47.38181818181818,1080,2750
30,10,256,3,48.90909090909091,1080,2750
50,3,32,1,58.79544619904517,3600,2723
50,3,32,2,60.00734484024972,3600,2723
50,3,32,3,60.33786265148733,3600,2723
50,3,64,1,58.53837679030481,3600,2723
50,3,64,2,59.162688211531396,3600,2723
50,3,64,3,60.264414248990086,3600,2723
50,3,128,1,60.04406904149835,3600,2723
50,3,128,2,60.74182886522218,3600,2723
50,3,128,3,60.52148365773044,3600,2723
50,3,256,1,58.721997796547925,3600,2723
50,3,256,2,59.603378626514875,3600,2723
50,3,256,3,59.56665442526625,3600,2723
50,5,32,1,55.747337495409475,2155,2723
50,5,32,2,57.80389276533236,2155,2723
50,5,32,3,58.02423797282409,2155,2723
50,5,64,1,56.95923613661403,2155,2723
50,5,64,2,57.840616966580974,2155,2723
50,5,64,3,60.81527726771943,2155,2723
50,5,128,1,57.36320235034888,2155,2723
50,5,128,2,58.17113477781858,2155,2723
50,5,128,3,59.27286081527727,2155,2723
50,5,256,1,57.76716856408373,2155,2723
50,5,256,2,58.64854939405068,2155,2723
50,5,256,3,58.721997796547925,2155,2723
50,10,32,1,54.09474843922145,1080,2723
50,10,32,2,56.261476312890196,1080,2723
50,10,32,3,55.19647447668013,1080,2723
50,10,64,1,54.719059860448034,1080,2723
50,10,64,2,55.967682702901214,1080,2723
50,10,64,3,55.673889092912226,1080,2723
50,10,128,1,55.93095850165259,1080,2723
50,10,128,2,55.526992287917736,1080,2723
50,10,128,3,56.00440690414983,1080,2723
50,10,256,1,54.60888725670217,1080,2723
50,10,256,2,57.10613294160852,1080,2723
50,10,256,3,56.92251193536541,1080,2723
80,3,32,1,64.83967188665176,3600,2682
80,3,32,2,66.07009694258016,3600,2682
80,3,32,3,66.44295302013423,3600,2682
80,3,64,1,64.83967188665176,3600,2682
80,3,64,2,65.6972408650261,3600,2682
80,3,64,3,66.77852348993288,3600,2682
80,3,128,1,65.51081282624907,3600,2682
80,3,128,2,66.36838180462341,3600,2682
80,3,128,3,68.23266219239373,3600,2682
80,3,256,1,64.24310216256525,3600,2682
80,3,256,2,65.84638329604772,3600,2682
80,3,256,3,67.78523489932886,3600,2682
80,5,32,1,63.012677106636836,2155,2682
80,5,32,2,64.5413870246085,2155,2682
80,5,32,3,66.44295302013423,2155,2682
80,5,64,1,63.72110365398956,2155,2682
80,5,64,2,64.50410141685309,2155,2682
80,5,64,3,67.18866517524236,2155,2682
80,5,128,1,64.0193885160328,2155,2682
80,5,128,2,64.91424310216256,2155,2682
80,5,128,3,65.39895600298284,2155,2682
80,5,256,1,65.36167039522745,2155,2682
80,5,256,2,65.58538404175988,2155,2682
80,5,256,3,65.21252796420582,2155,2682
80,10,32,1,60.81282624906786,1080,2682
80,10,32,2,62.86353467561521,1080,2682
80,10,32,3,64.09395973154362,1080,2682
80,10,64,1,61.85682326621924,1080,2682
80,10,64,2,63.3482475764355,1080,2682
80,10,64,3,63.758389261744966,1080,2682
80,10,128,1,63.16181953765847,1080,2682
80,10,128,2,64.50410141685309,1080,2682
80,10,128,3,64.91424310216256,1080,2682
80,10,256,1,62.86353467561521,1080,2682
80,10,256,2,64.46681580909768,1080,2682
80,10,256,3,63.49739000745712,1080,2682
100,3,32,1,68.22818284850774,3600,2647
100,3,32,2,69.39931998488855,3600,2647
100,3,32,3,70.00377786173026,3600,2647
100,3,64,1,69.28598413298073,3600,2647
100,3,64,2,68.90819795995466,3600,2647
100,3,64,3,70.64601435587457,3600,2647
100,3,128,1,69.0970910464677,3600,2647
100,3,128,2,70.53267850396675,3600,2647
100,3,128,3,70.11711371363808,3600,2647
100,3,256,1,68.79486210804684,3600,2647
100,3,256,2,70.64601435587457,3600,2647
100,3,256,3,70.2304495655459,3600,2647
100,5,32,1,67.58594635436343,2155,2647
100,5,32,2,68.15262561390253,2155,2647
100,5,32,3,69.0970910464677,2155,2647
100,5,64,1,68.26596146581035,2155,2647
100,5,64,2,68.41707593502078,2155,2647
100,5,64,3,69.89044200982244,2155,2647
100,5,128,1,68.37929731771817,2155,2647
100,5,128,2,69.28598413298073,2155,2647
100,5,128,3,70.57045712126936,2155,2647
100,5,256,1,69.55043445409898,2155,2647
100,5,256,2,68.5681904042312,2155,2647
100,5,256,3,69.36154136758594,2155,2647
100,10,32,1,65.84812995844352,1080,2647
100,10,32,2,67.54816773706082,1080,2647
100,10,32,3,67.54816773706082,1080,2647
100,10,64,1,65.20589346429921,1080,2647
100,10,64,2,68.87041934265206,1080,2647
100,10,64,3,67.73706082357386,1080,2647
100,10,128,1,66.71703815640348,1080,2647
100,10,128,2,67.73706082357386,1080,2647
100,10,128,3,69.28598413298073,1080,2647
100,10,256,1,67.09482432942954,1080,2647
100,10,256,2,68.07706837929732,1080,2647
100,10,256,3,68.19040423120514,1080,2647
150,3,32,1,77.2869429241595,3604,2558
150,3,32,2,77.91243158717748,3604,2558
150,3,32,3,77.75605942142299,3604,2558
150,3,64,1,76.27052384675528,3604,2558
150,3,64,2,76.93510555121189,3604,2558
150,3,64,3,79.12431587177483,3604,2558
150,3,128,1,77.443315089914,3604,2558
150,3,128,2,76.54417513682564,3604,2558
150,3,128,3,78.06880375293198,3604,2558
150,3,256,1,77.20875684128225,3604,2558
150,3,256,2,77.99061767005473,3604,2558
150,3,256,3,77.32603596559812,3604,2558
150,5,32,1,76.07505863956216,2155,2558
150,5,32,2,77.59968725566848,2155,2558
150,5,32,3,77.99061767005473,2155,2558
150,5,64,1,77.16966379984363,2155,2558
150,5,64,2,77.63878029710712,2155,2558
150,5,64,3,77.05238467552776,2155,2558
150,5,128,1,77.05238467552776,2155,2558
150,5,128,2,77.24784988272087,2155,2558
150,5,128,3,77.52150117279125,2155,2558
150,5,256,1,77.40422204847538,2155,2558
150,5,256,2,77.75605942142299,2155,2558
150,5,256,3,76.19233776387803,2155,2558
150,10,32,1,74.35496481626271,1080,2558
150,10,32,2,76.07505863956216,1080,2558
150,10,32,3,78.18608287724786,1080,2558
150,10,64,1,76.11415168100078,1080,2558
150,10,64,2,79.12431587177483,1080,2558
150,10,64,3,75.91868647380767,1080,2558
150,10,128,1,75.87959343236903,1080,2558
150,10,128,2,77.91243158717748,1080,2558
150,10,128,3,76.34870992963252,1080,2558
150,10,256,1,76.3096168881939,1080,2558
150,10,256,2,78.49882720875684,1080,2558
150,10,256,3,77.16966379984363,1080,2558
200,3,32,1,81.19210632299638,3600,2483
200,3,32,2,81.71566653242046,3600,2483
200,3,32,3,81.79621425694724,3600,2483
200,3,64,1,81.19210632299638,3600,2483
200,3,64,2,81.75594039468385,3600,2483
200,3,64,3,81.91703584373741,3600,2483
200,3,128,1,80.10471204188482,3600,2483
200,3,128,2,81.79621425694724,3600,2483
200,3,128,3,83.04470398711237,3600,2483
200,3,256,1,81.67539267015707,3600,2483
200,3,256,2,81.75594039468385,3600,2483
200,3,256,3,82.68223922674184,3600,2483
200,5,32,1,81.27265404752316,2155,2483
200,5,32,2,83.60853805879984,2155,2483
200,5,32,3,82.19895287958116,2155,2483
200,5,64,1,80.225533628675,2155,2483
200,5,64,2,82.56141763995167,2155,2483
200,5,64,3,82.8836085380588,2155,2483
200,5,128,1,81.9573097060008,2155,2483
200,5,128,2,82.68223922674184,2155,2483
200,5,128,3,81.91703584373741,2155,2483
200,5,256,1,81.39347563431333,2155,2483
200,5,256,2,82.48086991542489,2155,2483
200,5,256,3,83.20579943616593,2155,2483
200,10,32,1,80.82964156262585,1080,2483
200,10,32,2,82.72251308900523,1080,2483
200,10,32,3,83.08497784937576,1080,2483
200,10,64,1,81.5545710833669,1080,2483
200,10,64,2,83.28634716069271,1080,2483
200,10,64,3,82.96415626258558,1080,2483
200,10,128,1,81.83648811921063,1080,2483
200,10,128,2,83.40716874748288,1080,2483
200,10,128,3,83.3668948852195,1080,2483
200,10,256,1,81.9573097060008,1080,2483
200,10,256,2,83.00443012484897,1080,2483
200,10,256,3,83.52799033427306,1080,2483
250,3,32,1,81.15881617340558,3600,2399
250,3,32,2,84.03501458941226,3600,2399
250,3,32,3,84.07669862442684,3600,2399
250,3,64,1,84.61859107961651,3600,2399
250,3,64,2,83.57649020425177,3600,2399
250,3,64,3,82.95122967903293,3600,2399
250,3,128,1,83.8682784493539,3600,2399
250,3,128,2,83.11796581909128,3600,2399
250,3,128,3,84.07669862442684,3600,2399
250,3,256,1,82.70112546894539,3600,2399
250,3,256,2,83.65985827428095,3600,2399
250,3,256,3,84.66027511463109,3600,2399
250,5,32,1,83.0762817840767,2155,2399
250,5,32,2,82.61775739891621,2155,2399
250,5,32,3,83.70154230929553,2155,2399
250,5,64,1,82.70112546894539,2155,2399
250,5,64,2,84.2434347644852,2155,2399
250,5,64,3,83.32638599416424,2155,2399
250,5,128,1,82.65944143393081,2155,2399
250,5,128,2,83.82659441433931,2155,2399
250,5,128,3,84.66027511463109,2155,2399
250,5,256,1,82.74280950395999,2155,2399
250,5,256,2,82.78449353897457,2155,2399
250,5,256,3,83.15964985410588,2155,2399
250,10,32,1,81.53397248853689,1080,2399
250,10,32,2,84.57690704460192,1080,2399
250,10,32,3,83.28470195914964,1080,2399
250,10,64,1,82.45102125885786,1080,2399
250,10,64,2,83.57649020425177,1080,2399
