gap,seq_num,hidden_size,num_layer,ACC,train_size_localization,train_size_detection
3,30,32,1,61.262135922330096,4119,32792
3,30,32,2,63.398058252427184,4119,32792
3,30,32,3,64.39320388349515,4119,32792
3,30,64,1,62.64563106796116,4119,32792
3,30,64,2,62.69417475728155,4119,32792
3,30,64,3,64.6116504854369,4119,32792
3,30,128,1,63.640776699029125,4119,32792
3,30,128,2,62.86407766990291,4119,32792
3,30,128,3,64.49029126213593,4119,32792
3,30,256,1,63.95631067961165,4119,32792
3,30,256,2,64.07766990291262,4119,32792
3,30,256,3,65.99514563106796,4119,32792
3,30,512,1,63.689320388349515,4119,32792
3,30,512,2,64.39320388349515,4119,32792
3,30,512,3,64.63592233009709,4119,32792
3,30,1024,1,65.24271844660194,4119,32792
3,30,1024,2,64.75728155339806,4119,32792
3,30,1024,3,64.97572815533981,4119,32792
3,50,32,1,73.37378640776699,4119,32668
3,50,32,2,73.7378640776699,4119,32668
3,50,32,3,76.14077669902913,4119,32668
3,50,64,1,77.64563106796116,4119,32668
3,50,64,2,74.44174757281553,4119,32668
3,50,64,3,74.49029126213593,4119,32668
3,50,128,1,76.45631067961165,4119,32668
3,50,128,2,76.43203883495146,4119,32668
3,50,128,3,77.5,4119,32668
3,50,256,1,75.72815533980582,4119,32668
3,50,256,2,76.60194174757281,4119,32668
3,50,256,3,77.23300970873787,4119,32668
3,50,512,1,76.48058252427184,4119,32668
3,50,512,2,76.62621359223301,4119,32668
3,50,512,3,77.18446601941747,4119,32668
3,50,1024,1,76.57766990291262,4119,32668
3,50,1024,2,77.30582524271844,4119,32668
3,50,1024,3,77.76699029126213,4119,32668
3,80,32,1,89.19902912621359,4119,32488
3,80,32,2,86.57766990291262,4119,32488
3,80,32,3,88.08252427184466,4119,32488
3,80,64,1,89.22330097087378,4119,32488
3,80,64,2,87.62135922330097,4119,32488
3,80,64,3,87.47572815533981,4119,32488
3,80,128,1,88.68932038834951,4119,32488
3,80,128,2,87.30582524271844,4119,32488
3,80,128,3,89.05339805825243,4119,32488
3,80,256,1,88.64077669902913,4119,32488
3,80,256,2,89.12621359223301,4119,32488
3,80,256,3,88.7135922330097,4119,32488
3,80,512,1,89.1504854368932,4119,32488
3,80,512,2,88.3495145631068,4119,32488
3,80,512,3,89.05339805825243,4119,32488
3,80,1024,1,89.44174757281553,4119,32488
3,80,1024,2,89.83009708737865,4119,32488
3,80,1024,3,88.7135922330097,4119,32488
3,100,32,1,93.0238210986874,4113,32371
3,100,32,2,92.31891103548858,4113,32371
3,100,32,3,92.7807486631016,4113,32371
3,100,64,1,92.7807486631016,4113,32371
3,100,64,2,92.4161400097229,4113,32371
3,100,64,3,92.34321827904715,4113,32371
3,100,128,1,92.7807486631016,4113,32371
3,100,128,2,92.24598930481284,4113,32371
3,100,128,3,93.50996596985902,4113,32371
3,100,256,1,94.31210500729217,4113,32371
3,100,256,2,92.44044725328148,4113,32371
3,100,256,3,93.53427321341759,4113,32371
3,100,512,1,93.72873116188624,4113,32371
3,100,512,2,93.36412250850753,4113,32371
3,100,512,3,93.4127369956247,4113,32371
3,100,1024,1,94.11764705882354,4113,32371
3,100,1024,2,93.77734564900341,4113,32371
3,100,1024,3,93.77734564900341,4113,32371
3,150,32,1,97.69417475728156,4119,32072
3,150,32,2,97.45145631067962,4119,32072
3,150,32,3,97.45145631067962,4119,32072
3,150,64,1,97.71844660194175,4119,32072
3,150,64,2,97.74271844660194,4119,32072
3,150,64,3,97.5,4119,32072
3,150,128,1,97.62135922330097,4119,32072
3,150,128,2,97.79126213592232,4119,32072
3,150,128,3,97.5,4119,32072
3,150,256,1,97.52427184466019,4119,32072
3,150,256,2,97.20873786407768,4119,32072
3,150,256,3,97.47572815533981,4119,32072
3,150,512,1,97.64563106796116,4119,32072
3,150,512,2,97.9126213592233,4119,32072
3,150,512,3,97.62135922330097,4119,32072
3,150,1024,1,98.00970873786407,4119,32072
3,150,1024,2,97.64563106796116,4119,32072
3,150,1024,3,96.74757281553399,4119,32072
3,200,32,1,98.64077669902913,4119,31768
3,200,32,2,98.7378640776699,4119,31768
3,200,32,3,97.98543689320388,4119,31768
3,200,64,1,98.81067961165049,4119,31768
3,200,64,2,98.59223300970874,4119,31768
