gap,seq_num,hidden_size,num_layer,ACC
3,30,32,1,84.00219565747743
3,30,32,2,83.7643327640888
3,30,32,3,83.61185655037814
3,30,64,1,83.47767748231276
3,30,64,2,83.27030983166625
3,30,64,3,83.8558184923152
3,30,128,1,83.9473042205416
3,30,128,2,83.38619175408637
3,30,128,3,83.7643327640888
3,30,256,1,83.58746035618444
3,30,256,2,83.7155403757014
3,30,256,3,83.35569651134423
3,30,512,1,83.47767748231276
3,30,512,2,83.40448889973165
3,30,512,3,83.17882410343987
3,30,1024,1,83.25811173456941
3,30,1024,2,83.4410831910222
3,30,1024,3,83.02634788972921
3,50,32,1,87.5719358393535
3,50,32,2,87.81682380311008
3,50,32,3,87.2352148891882
3,50,64,1,87.00869352271336
3,50,64,2,87.03930451818293
3,50,64,3,87.36990326925432
3,50,128,1,87.45561405656912
3,50,128,2,87.08215991184034
3,50,128,3,87.47398065385086
3,50,256,1,86.99032692543162
3,50,256,2,87.78621280764051
3,50,256,3,87.44336965838129
3,50,512,1,87.34541447287866
3,50,512,2,87.32704787559692
3,50,512,3,87.29031468103342
3,50,1024,1,87.51071384841435
3,50,1024,2,87.05154891637076
3,50,1024,3,87.4005142647239
3,80,32,1,89.69465648854961
3,80,32,2,89.7746860379217
3,80,32,3,89.60847081999508
3,80,64,1,89.54075350898793
3,80,64,2,89.70081260773209
3,80,64,3,90.15636542723468
3,80,128,1,89.51612903225806
3,80,128,2,89.58384634326521
3,80,128,3,89.89780842157104
3,80,256,1,89.73774932282689
3,80,256,2,89.38069441024378
3,80,256,3,89.89165230238858
3,80,512,1,89.82393499138144
3,80,512,2,89.45456784043338
3,80,512,3,89.97783797094311
3,80,1024,1,89.13444964294509
3,80,1024,2,90.31026840679635
3,80,1024,3,89.53459738980547
3,100,32,1,91.3320153218831
3,100,32,2,90.80687013468429
3,100,32,3,91.41233164463117
3,100,64,1,90.96132460150747
3,100,64,2,90.6956629185716
3,100,64,3,90.95514642283455
3,100,128,1,91.01075003089089
3,100,128,2,90.70184109724453
3,100,128,3,91.1466699616953
3,100,256,1,90.88100827875942
3,100,256,2,90.93043370814284
3,100,256,3,91.00457185221796
3,100,512,1,90.8748301000865
3,100,512,2,90.79451377733844
3,100,512,3,91.06017546027431
3,100,1024,1,91.21462992709749
3,100,1024,2,91.32583714321018
3,100,1024,3,91.46175707401459
3,150,32,1,93.58942379645796
3,150,32,2,92.95959092042904
3,150,32,3,93.02818658019456
3,150,64,1,93.18408580693439
3,150,64,2,93.0843103018209
3,150,64,3,93.1778498378648
3,150,128,1,92.43576951858319
3,150,128,2,92.87228735345472
3,150,128,3,92.90346719880269
3,150,256,1,93.32127712646545
3,150,256,2,93.45223247692691
3,150,256,3,92.78498378648042
3,150,512,1,93.1716138687952
3,150,512,2,92.9970067348466
3,150,512,3,93.11549014716887
3,150,1024,1,93.11549014716887
3,150,1024,2,92.93464704415067
3,150,1024,3,92.82239960089798
3,200,32,1,93.37698312767564
3,200,32,2,93.49660035255603
3,200,32,3,93.16922689498867
3,200,64,1,93.20070511206245
3,200,64,2,93.30143540669856
3,200,64,3,93.28884411986905
3,200,128,1,92.94258373205741
3,200,128,2,93.52807856962981
3,200,128,3,93.23218332913623
3,200,256,1,92.96776630571644
3,200,256,2,93.57214807353311
3,200,256,3,92.77260135985898
3,200,512,1,93.25736590279527
3,200,512,2,93.21329639889197
