gap,seq_num,hidden_size,num_layer,ACC,train_size,val_size
3,30,32,1,80.1266339869281,16311,9792
3,30,32,2,79.72834967320262,16311,9792
3,30,32,3,79.65686274509804,16311,9792
3,30,64,1,79.61601307189542,16311,9792
3,30,64,2,80.02450980392157,16311,9792
3,30,64,3,79.44240196078431,16311,9792
3,30,128,1,79.57516339869281,16311,9792
3,30,128,2,79.89174836601308,16311,9792
3,30,128,3,79.1156045751634,16311,9792
3,30,256,1,80.10620915032679,16311,9792
3,30,256,2,79.70792483660131,16311,9792
3,30,256,3,79.25857843137256,16311,9792
5,30,32,1,79.71813725490196,9787,9792
5,30,32,2,79.5547385620915,9787,9792
5,30,32,3,79.74877450980392,9787,9792
5,30,64,1,79.87132352941177,9787,9792
5,30,64,2,79.38112745098039,9787,9792
5,30,64,3,79.1156045751634,9787,9792
5,30,128,1,79.23815359477125,9787,9792
5,30,128,2,80.18790849673202,9787,9792
5,30,128,3,79.29942810457516,9787,9792
5,30,256,1,79.43218954248366,9787,9792
5,30,256,2,80.04493464052288,9787,9792
5,30,256,3,79.15645424836602,9787,9792
10,30,32,1,78.73774509803921,4899,9792
10,30,32,2,78.76838235294117,4899,9792
10,30,32,3,77.91053921568627,4899,9792
10,30,64,1,78.07393790849673,4899,9792
10,30,64,2,78.14542483660131,4899,9792
10,30,64,3,77.57352941176471,4899,9792
10,30,128,1,78.06372549019608,4899,9792
10,30,128,2,78.47222222222223,4899,9792
10,30,128,3,78.5641339869281,4899,9792
10,30,256,1,77.72671568627452,4899,9792
10,30,256,2,78.18627450980392,4899,9792
10,30,256,3,77.84926470588235,4899,9792
15,30,32,1,78.04330065359477,3269,9792
15,30,32,2,77.81862745098039,3269,9792
15,30,32,3,77.859477124183,3269,9792
15,30,64,1,77.67565359477125,3269,9792
15,30,64,2,77.9922385620915,3269,9792
15,30,64,3,77.61437908496733,3269,9792
15,30,128,1,78.13521241830065,3269,9792
15,30,128,2,77.91053921568627,3269,9792
15,30,128,3,78.08415032679738,3269,9792
15,30,256,1,78.60498366013071,3269,9792
15,30,256,2,78.14542483660131,3269,9792
15,30,256,3,77.18545751633987,3269,9792
3,50,32,1,82.8395061728395,16189,9720
3,50,32,2,82.11934156378601,16189,9720
3,50,32,3,82.48971193415638,16189,9720
3,50,64,1,83.18930041152264,16189,9720
3,50,64,2,81.73868312757202,16189,9720
3,50,64,3,82.91152263374485,16189,9720
3,50,128,1,82.56172839506173,16189,9720
3,50,128,2,82.1604938271605,16189,9720
3,50,128,3,82.6954732510288,16189,9720
3,50,256,1,83.04526748971193,16189,9720
3,50,256,2,82.7880658436214,16189,9720
3,50,256,3,82.68518518518519,16189,9720
5,50,32,1,82.5925925925926,9715,9720
5,50,32,2,83.03497942386831,9715,9720
5,50,32,3,82.74691358024691,9715,9720
5,50,64,1,83.05555555555556,9715,9720
5,50,64,2,82.60288065843622,9715,9720
5,50,64,3,82.68518518518519,9715,9720
5,50,128,1,82.52057613168725,9715,9720
5,50,128,2,82.67489711934157,9715,9720
5,50,128,3,83.34362139917695,9715,9720
5,50,256,1,82.24279835390946,9715,9720
5,50,256,2,82.41769547325103,9715,9720
5,50,256,3,82.74691358024691,9715,9720
10,50,32,1,81.93415637860082,4863,9720
10,50,32,2,81.88271604938272,4863,9720
10,50,32,3,81.59465020576131,4863,9720
10,50,64,1,81.36831275720165,4863,9720
10,50,64,2,82.10905349794238,4863,9720
10,50,64,3,81.5843621399177,4863,9720
10,50,128,1,82.55144032921811,4863,9720
10,50,128,2,82.2119341563786,4863,9720
10,50,128,3,81.85185185185185,4863,9720
10,50,256,1,82.38683127572017,4863,9720
10,50,256,2,81.10082304526749,4863,9720
10,50,256,3,82.67489711934157,4863,9720
15,50,32,1,80.80246913580247,3245,9720
15,50,32,2,80.20576131687243,3245,9720
15,50,32,3,81.02880658436214,3245,9720
15,50,64,1,80.73045267489712,3245,9720
15,50,64,2,81.37860082304526,3245,9720
15,50,64,3,80.66872427983539,3245,9720
15,50,128,1,80.94650205761317,3245,9720
15,50,128,2,81.32716049382717,3245,9720
15,50,128,3,80.95679012345678,3245,9720
15,50,256,1,80.27777777777777,3245,9720
15,50,256,2,80.88477366255144,3245,9720
15,50,256,3,80.9156378600823,3245,9720
3,80,32,1,83.79109446525177,16009,9612
3,80,32,2,84.03037869330004,16009,9612
3,80,32,3,83.6662505201831,16009,9612
3,80,64,1,83.65584685809405,16009,9612
3,80,64,2,83.39575530586767,16009,9612
3,80,64,3,83.3645443196005,16009,9612
3,80,128,1,83.69746150645027,16009,9612
3,80,128,2,83.69746150645027,16009,9612
3,80,128,3,84.08239700374531,16009,9612
3,80,256,1,83.81190178942988,16009,9612
3,80,256,2,83.72867249271744,16009,9612
3,80,256,3,83.29171868497711,16009,9612
5,80,32,1,84.00957136912193,9607,9612
5,80,32,2,83.45817727840199,9607,9612
5,80,32,3,83.58302122347067,9607,9612
5,80,64,1,83.95755305867665,9607,9612
5,80,64,2,84.0407823553891,9607,9612
5,80,64,3,84.11360799001248,9607,9612
5,80,128,1,83.43736995422388,9607,9612
5,80,128,2,83.6662505201831,9607,9612
5,80,128,3,83.78069080316271,9607,9612
5,80,256,1,84.31127756970453,9607,9612
5,80,256,2,83.56221389929254,9607,9612
5,80,256,3,83.81190178942988,9607,9612
10,80,32,1,83.95755305867665,4809,9612
10,80,32,2,83.68705784436122,4809,9612
10,80,32,3,83.20848938826467,4809,9612
10,80,64,1,83.22929671244277,4809,9612
10,80,64,2,83.40615896795673,4809,9612
10,80,64,3,81.9184352892218,4809,9612
10,80,128,1,83.83270911360799,4809,9612
10,80,128,2,83.42696629213484,4809,9612
10,80,128,3,83.56221389929254,4809,9612
10,80,256,1,83.01081980857262,4809,9612
10,80,256,2,83.69746150645027,4809,9612
10,80,256,3,83.22929671244277,4809,9612
15,80,32,1,82.32417811069496,3209,9612
15,80,32,2,83.1772784019975,3209,9612
15,80,32,3,82.74032459425717,3209,9612
15,80,64,1,82.18893050353725,3209,9612
15,80,64,2,83.51019558884727,3209,9612
15,80,64,3,83.22929671244277,3209,9612
15,80,128,1,82.71951727007907,3209,9612
15,80,128,2,83.02122347066167,3209,9612
15,80,128,3,82.03287557220142,3209,9612
15,80,256,1,82.93799417394924,3209,9612
15,80,256,2,81.81439866833125,3209,9612
15,80,256,3,82.90678318768207,3209,9612
3,100,32,1,82.49475890985325,15888,9540
3,100,32,2,83.60587002096436,15888,9540
3,100,32,3,83.46960167714884,15888,9540
3,100,64,1,82.63102725366876,15888,9540
3,100,64,2,83.73165618448637,15888,9540
3,100,64,3,83.76310272536688,15888,9540
3,100,128,1,82.0125786163522,15888,9540
3,100,128,2,83.66876310272536,15888,9540
3,100,128,3,83.40670859538784,15888,9540
3,100,256,1,83.53249475890985,15888,9540
3,100,256,2,83.41719077568135,15888,9540
3,100,256,3,84.31865828092243,15888,9540
5,100,32,1,83.9622641509434,9535,9540
