seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
450,1,32,1,80.30560271646858,18390,589
450,1,32,2,82.51273344651952,18390,589
450,1,32,3,83.02207130730051,18390,589
450,1,64,1,78.60780984719864,18390,589
450,1,64,2,82.17317487266554,18390,589
450,1,64,3,84.71986417657045,18390,589
450,1,128,1,81.83361629881155,18390,589
450,1,128,2,83.70118845500849,18390,589
450,1,128,3,83.02207130730051,18390,589
450,1,256,1,81.83361629881155,18390,589
450,1,256,2,82.68251273344652,18390,589
450,1,256,3,82.85229202037351,18390,589
500,1,32,1,76.21832358674465,18390,513
500,1,32,2,77.97270955165692,18390,513
500,1,32,3,82.06627680311891,18390,513
500,1,64,1,78.75243664717348,18390,513
500,1,64,2,83.04093567251462,18390,513
500,1,64,3,78.75243664717348,18390,513
500,1,128,1,80.11695906432749,18390,513
500,1,128,2,79.33723196881091,18390,513
500,1,128,3,79.53216374269006,18390,513
500,1,256,1,80.50682261208577,18390,513
500,1,256,2,77.77777777777777,18390,513
500,1,256,3,79.33723196881091,18390,513
