q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_d_1,q_d_2,q_d_3,q_d_4,q_d_5,q_d_6,q_d_7
-0.01,0.78,0.02,-2.35,0.01,3.14,0.78,-0.01,0.78,0.02,-2.35,0.01,3.14,0.78
-0.02,0.77,0.03,-2.34,0.02,3.13,0.77,-0.02,0.77,0.03,-2.34,0.02,3.13,0.77
-0.03,0.76,0.04,-2.33,0.03,3.12,0.76,-0.03,0.76,0.04,-2.33,0.03,3.12,0.76
-0.04,0.75,0.05,-2.32,0.04,3.11,0.75,-0.04,0.75,0.05,-2.32,0.04,3.11,0.75
-0.05,0.74,0.06,-2.31,0.05,3.10,0.74,-0.05,0.74,0.06,-2.31,0.05,3.10,0.74
-0.06,0.73,0.07,-2.30,0.06,3.09,0.73,-0.06,0.73,0.07,-2.30,0.06,3.09,0.73
-0.07,0.72,0.08,-2.29,0.07,3.08,0.72,-0.07,0.72,0.08,-2.29,0.07,3.08,0.72
-0.08,0.71,0.09,-2.28,0.08,3.07,0.71,-0.08,0.71,0.09,-2.28,0.08,3.07,0.71
-0.09,0.70,0.10,-2.27,0.09,3.06,0.70,-0.09,0.70,0.10,-2.27,0.09,3.06,0.70
-0.10,0.69,0.11,-2.26,0.10,3.05,0.69,-0.10,0.69,0.11,-2.26,0.10,3.05,0.69
-0.11,0.68,0.12,-2.25,0.11,3.04,0.68,-0.11,0.68,0.12,-2.25,0.11,3.04,0.68
-0.12,0.67,0.13,-2.24,0.12,3.03,0.67,-0.12,0.67,0.13,-2.24,0.12,3.03,0.67
-0.13,0.66,0.14,-2.23,0.13,3.02,0.66,-0.13,0.66,0.14,-2.23,0.13,3.02,0.66
-0.14,0.65,0.15,-2.22,0.14,3.01,0.65,-0.14,0.65,0.15,-2.22,0.14,3.01,0.65
-0.15,0.64,0.16,-2.21,0.15,3.00,0.64,-0.16,0.63,0.18,-2.19,0.17,2.98,0.62
-0.15,0.64,0.16,-2.21,0.15,3.00,0.64,-0.17,0.62,0.20,-2.17,0.19,2.96,0.60
-0.15,0.64,0.16,-2.21,0.15,3.00,0.64,-0.18,0.61,0.22,-2.15,0.21,2.94,0.58
-0.15,0.64,0.16,-2.21,0.15,3.00,0.64,-0.19,0.60,0.24,-2.13,0.23,2.92,0.56
-0.15,0.64,0.16,-2.21,0.15,3.00,0.64,-0.20,0.59,0.26,-2.11,0.25,2.90,0.54
-0.15,0.64,0.16,-2.21,0.15,3.00,0.64,-0.21,0.58,0.28,-2.09,0.27,2.88,0.52
